Open Mic,Day,Start Time,Latest End Time,Venue Name,Borough,Neighborhood,Location,Venue type,Cost,Stage time,Sign-Up Instructions,Host(s) / Organizer,Changes/updates,Last verified,This Month's Changes ,Other Rules,Help other comics! Leave reviews,unique identifier,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source
Grisly Pear,Sunday,2:00 PM,3:30 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,Grisly Pear,@grislypear,Unverified,,show up first go up first depending on the host,,Sunday-2:00 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Monday,4:30 PM,6:00 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,Shanon Harris,@shanonharrislive,Verified tediously 5/13 Malev,,,,Monday-4:30 PM-@shanonharrislive,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Monday,6:00 PM,7:00 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,1 drink minimum,5,in person only,Shanon Harris,@shanonharrislive,Verified tediously 5/13 Malev,,,,Monday-6:00 PM-@shanonharrislive,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Tuesday,4:30 PM,6:00 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,Shanon Harris,@shanonharrislive,Verified tediously 5/8 Malev,,,,Tuesday-4:30 PM-@shanonharrislive,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Tuesday,6:00 PM,7:00 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,6,in person only,Shanon Harris,@shanonharrislive,Verified tediously 5/8 Malev,,,,Tuesday-6:00 PM-@shanonharrislive,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Wednesday,4:30 PM,6:00 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,Shanon Harris,@shanonharrislive  ,Verified tediously 5/8 Malev,,,,Wednesday-4:30 PM-@shanonharrislive  ,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Wednesday,6:00 PM,7:00 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,Shanon Harris,@shanonharrislive  ,Verified tediously 5/8 Malev,,,,Wednesday-6:00 PM-@shanonharrislive  ,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Thursday,4:30 PM,6:00 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,A grisly pear comic,@grislypear,Verified tediously 5/8 Malev,,winner gets $20 or booked on Hope's show,,Thursday-4:30 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Thursday,6:00 PM,7:00 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,in person only,A grisly pear comic,@grislypear,Verified tediously 5/8 Malev,,,,Thursday-6:00 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Grisly Pear,Friday,4:00 PM,5:00 PM,Grisly Pear,Manhattan ,Greenwich Village,"107 Macdougal St, New York, NY 10012",Comedy Club,$5 cash,5,Sign up in person,A grisly pear comic,@grislypear,Verified tediously 5/13 Malev,,,,Friday-4:00 PM-@grislypear,40.729824,-74.000758,1,rooftop,107 Mac Dougal St,,"New York, NY 10012",107,Mac Dougal St,,,New York,NY,New York County,10012,US,City of New York
Comedy Shop,Sunday,2:30 PM,4:00 PM,Comedy Shop,Manhattan ,Greenwich Village,"167 Bleecker St Rear, New York, NY 10012",Comedy Club,$7.62 but you get a free drink or fries,,https://comedyshopnyc.com/events/ ,,@thecomedyshopvillage,Verified tediously 5/13 Malev,,show up first go up first depending on the host,,Sunday-2:30 PM-@thecomedyshopvillage,40.728791,-74.000177,1,rooftop,167 Bleecker St,,"New York, NY 10012",167,Bleecker St,,,New York,NY,New York County,10012,US,City of New York
